chapter,page,url,description,note
4,8,https://www.gutenberg.org/cache/epub/67098/images/illus40.jpg,Christopher Robin nailing the tail back on,
4,9,https://www.gutenberg.org/cache/epub/67098/images/illus41.jpg,Eeyore frisking about happily with his tail restored,
4,10,https://www.gutenberg.org/cache/epub/67098/images/illus42.jpg,Chapter four decorative tailpiece,
5,1,https://www.gutenberg.org/cache/epub/67098/images/illus43.jpg,Pooh Piglet and Christopher Robin at a picnic,
5,2,https://www.gutenberg.org/cache/epub/67098/images/illus44.jpg,Pooh's larder with just one jar,
5,3,https://www.gutenberg.org/cache/epub/67098/images/illus45.jpg,Pooh carrying the honey jar to the Very Deep Pit,
5,4,https://www.gutenberg.org/cache/epub/67098/images/illus46.jpg,Piglet standing at the bottom of the Very Deep Pit,
5,5,https://www.gutenberg.org/cache/epub/67098/images/illus47.jpg,Pooh dreaming of a large Heffalump holding honey,
5,6,https://www.gutenberg.org/cache/epub/67098/images/illus48.jpg,Pooh trying to see down into the Very Deep Pit in the dark,
5,7,https://www.gutenberg.org/cache/epub/67098/images/illus49.jpg,Odd creature with Pooh body and honey jar for head,
5,8,https://www.gutenberg.org/cache/epub/67098/images/illus50.jpg,Piglet dreaming of an angry Heffalump chasing him,
5,9,https://www.gutenberg.org/cache/epub/67098/images/illus51.jpg,Piglet peeking down into the Very Deep Pit,
5,10,https://www.gutenberg.org/cache/epub/67098/images/illus52.jpg,Pooh trying to get the honey pot off his head,
5,11,https://www.gutenberg.org/cache/epub/67098/images/illus53.jpg,Christopher Robin jumping up to go and Piglet looking up,
5,12,https://www.gutenberg.org/cache/epub/67098/images/illus54.jpg,Pooh bumping his honey-pot head against the tree root,
6,1,https://www.gutenberg.org/cache/epub/67098/images/illus55.jpg,Eeyore looking at his image in a stream by a big old tree,
6,2,https://www.gutenberg.org/cache/epub/67098/images/illus56.jpg,Pooh sitting on a stone singing,
6,3,https://www.gutenberg.org/cache/epub/67098/images/illus57.jpg,Pooh leaning over at Eeyore,
6,4,https://www.gutenberg.org/cache/epub/67098/images/illus58.jpg,Piglet at Pooh's door under the Mr Sanders sign,
6,5,https://www.gutenberg.org/cache/epub/67098/images/illus59.jpg,Pooh holding a jar of honey,
6,6,https://www.gutenberg.org/cache/epub/67098/images/illus60.jpg,Pooh looking at the jar of honey,
6,7,https://www.gutenberg.org/cache/epub/67098/images/illus61.jpg,Pooh sitting with his face in the honey jar,
6,8,https://www.gutenberg.org/cache/epub/67098/images/illus62.jpg,Pooh sitting with the empty honey jar thinking,
6,9,https://www.gutenberg.org/cache/epub/67098/images/illus63.jpg,Owl standing on his chair with spectacles and pen,
6,10,https://www.gutenberg.org/cache/epub/67098/images/illus64.jpg,Piglet running with a big balloon then falling,
6,11,https://www.gutenberg.org/cache/epub/67098/images/illus65.jpg,Eeyore on the ground twisting around to hear,
6,12,https://www.gutenberg.org/cache/epub/67098/images/illus66.jpg,Eeyore looking at Piglet and the balloon-scrap,
6,13,https://www.gutenberg.org/cache/epub/67098/images/illus67.jpg,Eeyore with his Balloon and Useful Pot as Pooh and Piglet walk away,
7,1,https://www.gutenberg.org/cache/epub/67098/images/illus68.jpg,Rabbit Pooh and Piglet looking at a Strange Animal hopping away,
7,2,https://www.gutenberg.org/cache/epub/67098/images/illus69.jpg,Rabbit holding a sheet of paper looking down at Piglet,
7,3,https://www.gutenberg.org/cache/epub/67098/images/illus70.jpg,Pooh and Piglet on a bench listening to Rabbit read his plan,
7,4,https://www.gutenberg.org/cache/epub/67098/images/illus71.jpg,Kanga with arms open smiling at tiny Roo climbing from mousehole,
7,5,https://www.gutenberg.org/cache/epub/67098/images/illus72.jpg,Pooh thinking while Kanga attends Roo and Rabbit nudges Pooh,
7,6,https://www.gutenberg.org/cache/epub/67098/images/illus73.jpg,Kanga bounding off with Piglet peering from her pocket,
7,7,https://www.gutenberg.org/cache/epub/67098/images/illus74.jpg,Kanga looking in closet with washtub while Piglet turns away,
7,8,https://www.gutenberg.org/cache/epub/67098/images/illus75.jpg,Pooh practicing jumps - thinking then twist then bouncy,
7,9,https://www.gutenberg.org/cache/epub/67098/images/illus76.jpg,Piglet in the washtub getting scrubbed by Kanga,
7,10,https://www.gutenberg.org/cache/epub/67098/images/illus77.jpg,Christopher Robin sees Kanga with washtub and Piglet protesting,
7,11,https://www.gutenberg.org/cache/epub/67098/images/illus78.jpg,Piglet rolling happily in the dirt with dust clouds flying,
8,1,https://www.gutenberg.org/cache/epub/67098/images/illus79.jpg,Pooh and Christopher Robin sitting back-to-back with Big Boots,
8,2,https://www.gutenberg.org/cache/epub/67098/images/illus80.jpg,Pooh meeting Rabbit on a path,
8,3,https://www.gutenberg.org/cache/epub/67098/images/illus81.jpg,Piglet sitting on a dandelion blowing feathery tufts,
8,4,https://www.gutenberg.org/cache/epub/67098/images/illus82.jpg,Eeyore eyeing Rabbit's Friends and Relations,
8,5,https://www.gutenberg.org/cache/epub/67098/images/illus83.jpg,Christopher Robin shouting to the expedition line,
8,6,https://www.gutenberg.org/cache/epub/67098/images/illus84.jpg,Rabbit leading the line into dense brush,
8,7,https://www.gutenberg.org/cache/epub/67098/images/illus85.jpg,A dark place in the brush,
8,8,https://www.gutenberg.org/cache/epub/67098/images/illus86.jpg,Eeyore munching a thistle while Pooh has burrs on his behind,
8,9,https://www.gutenberg.org/cache/epub/67098/images/illus87.jpg,Kanga Pooh Piglet and Christopher Robin rushing to the Pool where Roo splashes,
8,10,https://www.gutenberg.org/cache/epub/67098/images/illus88.jpg,Pooh holding a long pole across the stream with Kanga and Owl,
8,11,https://www.gutenberg.org/cache/epub/67098/images/illus89.jpg,Eeyore waiting alone with his tail in the water,
8,12,https://www.gutenberg.org/cache/epub/67098/images/illus90.jpg,Everyone admiring the North Pole with Discovered by Pooh sign,
9,1,https://www.gutenberg.org/cache/epub/67098/images/illus91.jpg,Piglet looking out window of his tree-house in heavy rain and swirling water,
9,2,https://www.gutenberg.org/cache/epub/67098/images/illus92.jpg,Piglet leaning out the window tossing a bottle,
9,3,https://www.gutenberg.org/cache/epub/67098/images/illus93.jpg,Pooh on a long branch with nine pots of honey in the rain,
9,4,https://www.gutenberg.org/cache/epub/67098/images/illus94.jpg,Pooh's head above water clutching his last jar of honey,
9,5,https://www.gutenberg.org/cache/epub/67098/images/illus95.jpg,Pooh holding his floating empty jar,
9,6,https://www.gutenberg.org/cache/epub/67098/images/illus96.jpg,The jar floating as Pooh tries to hold on,
9,7,https://www.gutenberg.org/cache/epub/67098/images/illus97.jpg,Pooh has lost hold of the jar,
9,8,https://www.gutenberg.org/cache/epub/67098/images/illus98.jpg,Christopher Robin holding big umbrella planting a stick at waters edge,
9,9,https://www.gutenberg.org/cache/epub/67098/images/illus99.jpg,Pooh crawling out from the edge of the water,
9,10,https://www.gutenberg.org/cache/epub/67098/images/illus100.jpg,Pooh astride his empty jar emerging from the water in rain,
9,11,https://www.gutenberg.org/cache/epub/67098/images/illus101.jpg,Pooh climbing into the upside-down umbrella as Christopher Robin watches,
9,12,https://www.gutenberg.org/cache/epub/67098/images/illus102.jpg,Owl perched on Piglet's tree branch as Piglet waves a cloth in flood,
9,13,https://www.gutenberg.org/cache/epub/67098/images/illus103.jpg,Christopher Robin waving from the Brain of Pooh umbrella-boat,
10,1,https://www.gutenberg.org/cache/epub/67098/images/illus104.jpg,Christopher Robin at a huge old tree-house with Owl flying down,
10,2,https://www.gutenberg.org/cache/epub/67098/images/illus105.jpg,Pooh in front of his mirror holding pie-tin cymbals above his head,
10,3,https://www.gutenberg.org/cache/epub/67098/images/illus106.jpg,Eeyore with a large bow on his tail,
10,4,https://www.gutenberg.org/cache/epub/67098/images/illus107.jpg,Owl with claws clawing at Eeyore,
10,5,https://www.gutenberg.org/cache/epub/67098/images/illus108.jpg,Piglet considering a pitcher set in a wide bowl on a stand,
10,6,https://www.gutenberg.org/cache/epub/67098/images/illus109.jpg,Kanga tending to Roo who has dropped a cup,
10,7,https://www.gutenberg.org/cache/epub/67098/images/illus110.jpg,Christopher Robin speaking to the whole party at the table,
10,8,https://www.gutenberg.org/cache/epub/67098/images/illus111.jpg,Pooh opening a present with everyone excited around him,
10,9,https://www.gutenberg.org/cache/epub/67098/images/illus112.jpg,Pooh and Piglet walking into the sunset carrying the present,
10,10,https://www.gutenberg.org/cache/epub/67098/images/illus113.jpg,Christopher Robin dragging his toy bear up the stairs to end the book,
